Name,URL,Type,BirthYear,DeathYear
Francis Wheen,https://en.wikipedia.org/wiki/Francis_Wheen,Comedy panel game regulars,,
Frank Muir,https://en.wikipedia.org/wiki/Frank_Muir,Comedy panel game regulars,,
Frank Skinner,https://en.wikipedia.org/wiki/Frank_Skinner,Stand-up comedians,1957,
Frankie Boyle,https://en.wikipedia.org/wiki/Frankie_Boyle,Comedy panel game regulars,,
Gareth Hale,https://en.wikipedia.org/wiki/Gareth_Hale,Comedy double acts,,
Gary Delaney,https://en.wikipedia.org/wiki/Gary_Delaney,Stand-up comedians,1973,
Gary Le Strange,https://en.wikipedia.org/wiki/Gary_Le_Strange,Musical comedians,1971,
George Logan,https://en.wikipedia.org/wiki/George_Logan_(performer),Comedy double acts,,
Gerald Scarfe,https://en.wikipedia.org/wiki/Gerald_Scarfe,"Cartoonists, caricaturists, etc.",,
Gina Yashere,https://en.wikipedia.org/wiki/Gina_Yashere,Stand-up comedians,1974,
Gordon Southern,https://en.wikipedia.org/wiki/Gordon_Southern,Stand-up comedians,,
Graeme Garden,https://en.wikipedia.org/wiki/Graeme_Garden,Comedy panel game regulars,1943,
Graham Fellows,https://en.wikipedia.org/wiki/Graham_Fellows,Musical comedians,1959,
Greg Davies,https://en.wikipedia.org/wiki/Greg_Davies,Stand-up comedians,1968,
Greg McHugh,https://en.wikipedia.org/wiki/Greg_McHugh,Sitcom comedians,1980,
Gregor Fisher,https://en.wikipedia.org/wiki/Gregor_Fisher,Sketch show/alternative comedians,1953,
Griff Rhys Jones,https://en.wikipedia.org/wiki/Griff_Rhys_Jones,Sketch show/alternative comedians,1953,
Harriet Braine,https://en.wikipedia.org/wiki/Harriet_Braine,Musical comedians,,
Harry Enfield,https://en.wikipedia.org/wiki/Harry_Enfield,Comedy panel game regulars,1961,
Harry Hill,https://en.wikipedia.org/wiki/Harry_Hill,Sketch show/alternative comedians,1964,
Haver and Lee,https://en.wikipedia.org/wiki/Haver_and_Lee,Variety and music hall comedians,,
Helen Atkinson-Wood,https://en.wikipedia.org/wiki/Helen_Atkinson-Wood,Sitcom comedians,1955,
Helen Lederer,https://en.wikipedia.org/wiki/Helen_Lederer,Sitcom comedians,1954,
Henry Naylor,https://en.wikipedia.org/wiki/Henry_Naylor,Comedy double acts,,
Henry Normal,https://en.wikipedia.org/wiki/Henry_Normal,Poets with a comedic bent,,
Hinge and Bracket,https://en.wikipedia.org/wiki/Hinge_and_Bracket,Musical comedians,,
Holly Walsh,https://en.wikipedia.org/wiki/Holly_Walsh,Stand-up comedians,1980,
Hugh Dennis,https://en.wikipedia.org/wiki/Hugh_Dennis,Comedy panel game regulars,1962,
Hugh Laurie,https://en.wikipedia.org/wiki/Hugh_Laurie,Sketch show/alternative comedians,1959,
Hugo Speer,https://en.wikipedia.org/wiki/Hugo_Speer,Comedy double acts,,
Humphrey Ker,https://en.wikipedia.org/wiki/Humphrey_Ker,Sitcom comedians,1982,
Humphrey Lyttelton,https://en.wikipedia.org/wiki/Humphrey_Lyttelton,Comedy panel game regulars,,
Ian Hislop,https://en.wikipedia.org/wiki/Ian_Hislop,Comedy panel game regulars,1960,
Ian Stone,https://en.wikipedia.org/wiki/Ian_Stone,Stand-up comedians,1963,
Ikenna Azuike,https://en.wikipedia.org/wiki/Ikenna_Azuike,Satirists,1979,
Ingrid Oliver,https://en.wikipedia.org/wiki/Ingrid_Oliver,Comedy double acts,,
Isy Suttie,https://en.wikipedia.org/wiki/Isy_Suttie,Comedy panel game regulars,1978,
Ivo Graham,https://en.wikipedia.org/wiki/Ivo_Graham,Stand-up comedians,1990,
Ivor Biggun,https://en.wikipedia.org/wiki/Doc_Cox,Musical comedians,1946,
Jack Binstead,https://en.wikipedia.org/wiki/Jack_Binstead,Sitcom comedians,1996,
Jack Davenport,https://en.wikipedia.org/wiki/Jack_Davenport,Sitcom comedians,1973,
Jack Dee,https://en.wikipedia.org/wiki/Jack_Dee,Stand-up comedians,1961,
Jack Whitehall,https://en.wikipedia.org/wiki/Jack_Whitehall,Stand-up comedians,1988,
Jameela Jamil,https://en.wikipedia.org/wiki/Jameela_Jamil,Sitcom comedians,1986,
James Acaster,https://en.wikipedia.org/wiki/James_Acaster,Stand-up comedians,1985,
James Bachman,https://en.wikipedia.org/wiki/James_Bachman,Sketch show/alternative comedians,,
James Bolam,https://en.wikipedia.org/wiki/James_Bolam,Sitcom comedians,1935,
James Buckley,https://en.wikipedia.org/wiki/James_Buckley_(actor),Sitcom comedians,1987,
James Dreyfus,https://en.wikipedia.org/wiki/James_Dreyfus,Sitcom comedians,1968,
James Fleet,https://en.wikipedia.org/wiki/James_Fleet,Sitcom comedians,1952,
Jamie Demetriou,https://en.wikipedia.org/wiki/Jamie_Demetriou,Sitcom comedians,1987,
Jan Ravens,https://en.wikipedia.org/wiki/Jan_Ravens,Impressionists,1958,
Jane Horrocks,https://en.wikipedia.org/wiki/Jane_Horrocks,Sitcom comedians,1964,
Jane Leeves,https://en.wikipedia.org/wiki/Jane_Leeves,Sitcom comedians,1961,
Janice Connolly,https://en.wikipedia.org/wiki/Janice_Connolly,Stand-up comedians,1954,
Jason Manford,https://en.wikipedia.org/wiki/Jason_Manford,Stand-up comedians,1981,
Jasper Carrott,https://en.wikipedia.org/wiki/Jasper_Carrott,Stand-up comedians,1945,
Jay Foreman,https://en.wikipedia.org/wiki/Jay_Foreman_(comedian),Musical comedians,,
Jeff Green,https://en.wikipedia.org/wiki/Jeff_Green_(comedian),Stand-up comedians,1964,
Jen Brister,https://en.wikipedia.org/wiki/Jen_Brister,Stand-up comedians,1975,
Jennifer Saunders,https://en.wikipedia.org/wiki/Jennifer_Saunders,Sketch show/alternative comedians,1958,
Jennifer Veal,https://en.wikipedia.org/wiki/Jennifer_Veal,Sitcom comedians,1991,
Jenny Eclair,https://en.wikipedia.org/wiki/Jenny_Eclair,Radio comedians,1960,
Jeremy Dyson,https://en.wikipedia.org/wiki/Jeremy_Dyson,Sketch show/alternative comedians,1966,
Jeremy Hardy,https://en.wikipedia.org/wiki/Jeremy_Hardy,Comedy panel game regulars,,
Jessica Hynes,https://en.wikipedia.org/wiki/Jessica_Hynes,Sitcom comedians,1972,
Jessica Knappett,https://en.wikipedia.org/wiki/Jessica_Knappett,Sitcom comedians,1984,
Jim Davidson,https://en.wikipedia.org/wiki/Jim_Davidson,Stand-up comedians,1954,
Jim Tavaré,https://en.wikipedia.org/wiki/Jim_Tavar%C3%A9,Musical comedians,1963,
Jimeoin,https://en.wikipedia.org/wiki/Jimeoin,Stand-up comedians,1966,
Jimmy Carr,https://en.wikipedia.org/wiki/Jimmy_Carr,Stand-up comedians,1972,
Jimmy Cricket,https://en.wikipedia.org/wiki/Jimmy_Cricket,Variety and music hall comedians,1945,
Jimmy Gold,https://en.wikipedia.org/wiki/Jimmy_Gold,Comedy double acts,,
Jimmy Jones,https://en.wikipedia.org/wiki/Jimmy_Jones_(comedian),Stand-up comedians,1938,
Jimmy Tarbuck,https://en.wikipedia.org/wiki/Jimmy_Tarbuck,Stand-up comedians,1940,
Jo Brand,https://en.wikipedia.org/wiki/Jo_Brand,Stand-up comedians,1957,
Jo Caulfield,https://en.wikipedia.org/wiki/Jo_Caulfield,Stand-up comedians,1963,
Jo Enright,https://en.wikipedia.org/wiki/Jo_Enright,Stand-up comedians,1968,
Joanna Lumley,https://en.wikipedia.org/wiki/Joanna_Lumley,Sitcom comedians,1946,
Joe Cornish,https://en.wikipedia.org/wiki/Joe_Cornish,Comedy double acts,,
Joe Lycett,https://en.wikipedia.org/wiki/Joe_Lycett,Stand-up comedians,1988,
Joe Thomas,https://en.wikipedia.org/wiki/Joe_Thomas_(actor),Sitcom comedians,1983,
Joe Wilkinson,https://en.wikipedia.org/wiki/Joe_Wilkinson,Stand-up comedians,1975,
Joel Dommett,https://en.wikipedia.org/wiki/Joel_Dommett,Stand-up comedians,1985,
John Bishop,https://en.wikipedia.org/wiki/John_Bishop,Stand-up comedians,1966,
John Cleese,https://en.wikipedia.org/wiki/John_Cleese,Sketch show/alternative comedians,1939,
John Cooper Clarke,https://en.wikipedia.org/wiki/John_Cooper_Clarke,Poets with a comedic bent,,
John Finnemore,https://en.wikipedia.org/wiki/John_Finnemore,Radio comedians,1977,
John Hegley,https://en.wikipedia.org/wiki/John_Hegley,Musical comedians,1953,
John Moloney,https://en.wikipedia.org/wiki/John_Moloney_(comedian),Stand-up comedians,,
John Oliver,https://en.wikipedia.org/wiki/John_Oliver_(comedian),Stand-up comedians,1977,
John Robins,https://en.wikipedia.org/wiki/John_Robins_(comedian),Stand-up comedians,1982,
John Thomson,https://en.wikipedia.org/wiki/John_Thomson_(comedian),Sketch show/alternative comedians,1969,
Johnny Vegas,https://en.wikipedia.org/wiki/Johnny_Vegas,Stand-up comedians,1970,
Jon Culshaw,https://en.wikipedia.org/wiki/Jon_Culshaw,Impressionists,1968,
Jon Holmes,https://en.wikipedia.org/wiki/Jon_Holmes,Satirists,1973,
Jon Richardson,https://en.wikipedia.org/wiki/Jon_Richardson,Stand-up comedians,1982,
Jonathan Ross,https://en.wikipedia.org/wiki/Jonathan_Ross,Comedy panel game regulars,,
Josh Widdicombe,https://en.wikipedia.org/wiki/Josh_Widdicombe,Stand-up comedians,1983,
Joshua Seigal,https://en.wikipedia.org/wiki/Joshua_Seigal,Poets with a comedic bent,,
Josie Long,https://en.wikipedia.org/wiki/Josie_Long,Stand-up comedians,1982,
Judy Cornwell,https://en.wikipedia.org/wiki/Judy_Cornwell,Sitcom comedians,1940,
Julia Davis,https://en.wikipedia.org/wiki/Julia_Davis,Sitcom comedians,1966,
Julia Hills,https://en.wikipedia.org/wiki/Julia_Hills,Sitcom comedians,1957,
Julia Sawalha,https://en.wikipedia.org/wiki/Julia_Sawalha,Sitcom comedians,1968,
Julian Barratt,https://en.wikipedia.org/wiki/Julian_Barratt,Stand-up comedians,1968,
Julian Clary,https://en.wikipedia.org/wiki/Julian_Clary,Stand-up comedians,1959,
Julie Walters,https://en.wikipedia.org/wiki/Julie_Walters,Sitcom comedians,1950,
Karl Howman,https://en.wikipedia.org/wiki/Karl_Howman,Sitcom comedians,1952,
Katherine Bennett,https://en.wikipedia.org/wiki/Katherine_Bennett_(comedian),Stand-up comedians,1976,
Katherine Parkinson,https://en.wikipedia.org/wiki/Katherine_Parkinson,Sitcom comedians,1977,
Kathy Burke,https://en.wikipedia.org/wiki/Kathy_Burke,Sitcom comedians,1964,
Katie Perry,https://en.wikipedia.org/wiki/Katie_Perry,Comedy panel game regulars,,
Katy Brand,https://en.wikipedia.org/wiki/Katy_Brand,Sketch show/alternative comedians,1979,
Kenneth Williams,https://en.wikipedia.org/wiki/Kenneth_Williams,Comedy panel game regulars,,
Kenway and Young,https://en.wikipedia.org/wiki/Kenway_and_Young,Variety and music hall comedians,,
Kerry Godliman,https://en.wikipedia.org/wiki/Kerry_Godliman,Stand-up comedians,1973,
