Name,URL,Type,BirthYear,DeathYear
Elsie and Doris Waters,https://en.wikipedia.org/wiki/Elsie_and_Doris_Waters,Variety and music hall comedians,,
Jimmy Wheeler,https://en.wikipedia.org/wiki/Jimmy_Wheeler,Variety and music hall comedians,1910,1973
Charlie Williams,https://en.wikipedia.org/wiki/Charlie_Williams_(comedian),Variety and music hall comedians,1927,2006
Robb Wilton,https://en.wikipedia.org/wiki/Robb_Wilton,Variety and music hall comedians,1881,1957
Wee Georgie Wood,https://en.wikipedia.org/wiki/Wee_Georgie_Wood,Variety and music hall comedians,1894,1979
Michael Bentine,https://en.wikipedia.org/wiki/Michael_Bentine,Radio comedians,1922,1996
Dick Bentley,https://en.wikipedia.org/wiki/Dick_Bentley,Radio comedians,1907,1995
Tim Brooke-Taylor,https://en.wikipedia.org/wiki/Tim_Brooke-Taylor,Radio comedians,1940,2020
John Cleese,https://en.wikipedia.org/wiki/John_Cleese,Radio comedians,1939,
Jenny Eclair,https://en.wikipedia.org/wiki/Jenny_Eclair,Radio comedians,1960,
Jimmy Edwards,https://en.wikipedia.org/wiki/Jimmy_Edwards,Radio comedians,1920,1988
Kenny Everett,https://en.wikipedia.org/wiki/Kenny_Everett,Radio comedians,1944,1995
Graham Fellows,https://en.wikipedia.org/wiki/Graham_Fellows,Radio comedians,1959,
John Finnemore,https://en.wikipedia.org/wiki/John_Finnemore,Radio comedians,1977,
Cyril Fletcher,https://en.wikipedia.org/wiki/Cyril_Fletcher,Radio comedians,1913,2005
Ronald Frankau,https://en.wikipedia.org/wiki/Ronald_Frankau,Radio comedians,1894,1951
Graeme Garden,https://en.wikipedia.org/wiki/Graeme_Garden,Radio comedians,1943,
Jeff Green,https://en.wikipedia.org/wiki/Jeff_Green_(comedian),Radio comedians,1964,
Joyce Grenfell,https://en.wikipedia.org/wiki/Joyce_Grenfell,Radio comedians,1910,1979
Deryck Guyler,https://en.wikipedia.org/wiki/Deryck_Guyler,Radio comedians,1914,1999
Tony Hancock,https://en.wikipedia.org/wiki/Tony_Hancock,Radio comedians,1924,1968
Tommy Handley,https://en.wikipedia.org/wiki/Tommy_Handley,Radio comedians,1892,1949
David Hatch,https://en.wikipedia.org/wiki/David_Hatch,Radio comedians,1939,2007
Leonard Henry,https://en.wikipedia.org/wiki/Leonard_Henry_(comedian),Radio comedians,1890,1973
Jon Holmes,https://en.wikipedia.org/wiki/Jon_Holmes,Radio comedians,1973,
Kenneth Horne,https://en.wikipedia.org/wiki/Kenneth_Horne,Radio comedians,1907,1969
Roy Hudd,https://en.wikipedia.org/wiki/Roy_Hudd,Radio comedians,1936,2020
Jo Kendall,https://en.wikipedia.org/wiki/Jo_Kendall,Radio comedians,1938,2022
Harry Korris,https://en.wikipedia.org/wiki/Harry_Korris,Radio comedians,1891,1971
Bill Kerr,https://en.wikipedia.org/wiki/Bill_Kerr,Radio comedians,1922,2014
