Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Jeff Green,https://en.wikipedia.org/wiki/Jeff_Green_(comedian),Stand-up comedians,1964,,2428,61.0,Male,"Chester, England",53.1908873,-2.8908955,262.9
Jen Brister,https://en.wikipedia.org/wiki/Jen_Brister,Stand-up comedians,1975,,8035,50.0,Female,London,51.5074456,-0.1277653,16.85
Jennifer Saunders,https://en.wikipedia.org/wiki/Jennifer_Saunders,Sketch show/alternative comedians,1958,,22651,67.0,Female,"Sleaford, Lincolnshire",52.99965,-0.4095586,175.36
Jennifer Veal,https://en.wikipedia.org/wiki/Jennifer_Veal,Sitcom comedians,1991,,5847,34.0,Female,"Coventry, West Midlands",52.4081812,-1.510477,136.28
Jenny Eclair,https://en.wikipedia.org/wiki/Jenny_Eclair,Radio comedians,1960,,11768,65.0,Female,"Kuala Lumpur, Federation of Malaya, Malaysia",,,
Jeremy Dyson,https://en.wikipedia.org/wiki/Jeremy_Dyson,Sketch show/alternative comedians,1966,,7110,59.0,Male,"Leeds, West Yorkshire, UK",53.7974185,-1.5437941,276.55
Jeremy Hardy,https://en.wikipedia.org/wiki/Jeremy_Hardy,Comedy panel game regulars,,,13549,,Male,"Farnborough, Hampshire",51.2918693,-0.7539836,32.97
Jessica Hynes,https://en.wikipedia.org/wiki/Jessica_Hynes,Sitcom comedians,1972,,9429,53.0,Female,"Jessica StevensonLewisham, London, England",,,
Jessica Knappett,https://en.wikipedia.org/wiki/Jessica_Knappett,Sitcom comedians,1984,,4344,41.0,Female,"Bingley, West Yorkshire, England",53.8479533,-1.8384526,288.35
Jim Davidson,https://en.wikipedia.org/wiki/Jim_Davidson,Stand-up comedians,1954,,23470,71.0,Male,"Kidbrooke, London",51.4620317,0.0279002,25.27
Jim Tavaré,https://en.wikipedia.org/wiki/Jim_Tavar%C3%A9,Musical comedians,1963,,4423,62.0,Male,"Essex, England",51.7704679,0.4646698,67.22
Jimeoin,https://en.wikipedia.org/wiki/Jimeoin,Stand-up comedians,1966,,6391,59.0,Male,Leamington Spa,52.2913394,-1.536404,127.3
Jimmy Carr,https://en.wikipedia.org/wiki/Jimmy_Carr,Stand-up comedians,1972,,52075,53.0,Male,"Isleworth, London, England",51.4748823,-0.3368946,5.63
Jimmy Cricket,https://en.wikipedia.org/wiki/Jimmy_Cricket,Variety and music hall comedians,1945,,4206,80.0,Male,"Cookstown, County Tyrone",54.6436734,-6.7416008,559.37
Jimmy Gold,https://en.wikipedia.org/wiki/Jimmy_Gold,Comedy double acts,,,2344,,Male,,,,
Jimmy Jones,https://en.wikipedia.org/wiki/Jimmy_Jones_(comedian),Stand-up comedians,1938,,2431,87.0,Male,"Southampton, Hampshire",42.2294201,-72.7296262,5387.13
Jimmy Tarbuck,https://en.wikipedia.org/wiki/Jimmy_Tarbuck,Stand-up comedians,1940,,8829,85.0,Male,"Wavertree, Liverpool",53.3975723,-2.9325105,282.02
Jo Brand,https://en.wikipedia.org/wiki/Jo_Brand,Stand-up comedians,1957,,22906,68.0,Female,Clapham,51.4614469,-0.138627,13.97
Jo Caulfield,https://en.wikipedia.org/wiki/Jo_Caulfield,Stand-up comedians,1963,,2060,62.0,Female,Josephine Caulfield,,,
Jo Enright,https://en.wikipedia.org/wiki/Jo_Enright,Stand-up comedians,1968,,4156,57.0,Female,,,,
Joanna Lumley,https://en.wikipedia.org/wiki/Joanna_Lumley,Sitcom comedians,1946,,43941,79.0,Female,"Srinagar, Jammu and Kashmir",34.0747444,74.8204443,6154.57
Joe Cornish,https://en.wikipedia.org/wiki/Joe_Cornish,Comedy double acts,,,8789,,Male,London,51.5074456,-0.1277653,16.85
Joe Lycett,https://en.wikipedia.org/wiki/Joe_Lycett,Stand-up comedians,1988,,29193,37.0,Male,"Birmingham, England",52.4796992,-1.9026911,159.58
Joe Thomas,https://en.wikipedia.org/wiki/Joe_Thomas_(actor),Sitcom comedians,1983,,6345,42.0,Male,"Chelmsford, Essex",51.7345329,0.4730532,65.53
Joe Wilkinson,https://en.wikipedia.org/wiki/Joe_Wilkinson,Stand-up comedians,1975,,12471,50.0,Male,Bromley,51.4028046,0.0148142,24.15
Joel Dommett,https://en.wikipedia.org/wiki/Joel_Dommett,Stand-up comedians,1985,,12562,40.0,Male,"Rockhampton, Gloucestershire",51.6369909,-2.5052884,152.75
John Bishop,https://en.wikipedia.org/wiki/John_Bishop,Stand-up comedians,1966,,21345,59.0,Male,"Everton, Liverpool, England",53.4203542,-2.973229,285.7
John Cleese,https://en.wikipedia.org/wiki/John_Cleese,Sketch show/alternative comedians,1939,,68322,86.0,Male,Weston-super-Mare,51.3471927,-2.9778916,184.48
John Cooper Clarke,https://en.wikipedia.org/wiki/John_Cooper_Clarke,Poets with a comedic bent,,,18592,,Male,"Salford, Lancashire, England",53.7486232,-2.478544,296.76
John Finnemore,https://en.wikipedia.org/wiki/John_Finnemore,Radio comedians,1977,,12313,48.0,Male,Reading,51.4514953,-0.9836342,45.51
John Hegley,https://en.wikipedia.org/wiki/John_Hegley,Musical comedians,1953,,8047,72.0,Male,"London, England",51.5074456,-0.1277653,16.85
John Moloney,https://en.wikipedia.org/wiki/John_Moloney_(comedian),Stand-up comedians,,,3213,,Male,,,,
John Oliver,https://en.wikipedia.org/wiki/John_Oliver_(comedian),Stand-up comedians,1977,,62909,48.0,Male,"Birmingham, England",52.4796992,-1.9026911,159.58
John Robins,https://en.wikipedia.org/wiki/John_Robins_(comedian),Stand-up comedians,1982,,14248,43.0,Male,Thornbury,50.8532148,-4.2731341,283.11
John Thomson,https://en.wikipedia.org/wiki/John_Thomson_(comedian),Sketch show/alternative comedians,1969,,11463,56.0,Male,"Walkden, Worsley, Lancashire",53.5066384,-2.4204029,271.74
Johnny Vegas,https://en.wikipedia.org/wiki/Johnny_Vegas,Stand-up comedians,1970,,15459,55.0,Male,"St Helens, Lancashire",53.4706093,-2.6134357,275.53
Jon Culshaw,https://en.wikipedia.org/wiki/Jon_Culshaw,Impressionists,1968,,12565,57.0,Male,"Ormskirk, Lancashire",53.5673603,-2.8859603,294.89
Jon Holmes,https://en.wikipedia.org/wiki/Jon_Holmes,Satirists,1973,,15123,52.0,Male,"Stratford-upon-Avon, Warwickshire",52.1927803,-1.70634,127.72
Jon Richardson,https://en.wikipedia.org/wiki/Jon_Richardson,Stand-up comedians,1982,,17472,43.0,Male,"Lancaster, Lancashire, England",54.0488219,-2.8013499,336.32
Jonathan Ross,https://en.wikipedia.org/wiki/Jonathan_Ross,Comedy panel game regulars,,,44859,,Male,"Jonathan Stephen Ross   London, England",,,
Josh Widdicombe,https://en.wikipedia.org/wiki/Josh_Widdicombe,Stand-up comedians,1983,,20029,42.0,Male,"Hammersmith, London",51.494109,-0.2250607,10.67
Joshua Seigal,https://en.wikipedia.org/wiki/Joshua_Seigal,Poets with a comedic bent,,,5213,,Male,"London, England",51.5074456,-0.1277653,16.85
Josie Long,https://en.wikipedia.org/wiki/Josie_Long,Stand-up comedians,1982,,16495,43.0,Female,"Sidcup, London, England",51.4340208,0.1034297,30.2
Judy Cornwell,https://en.wikipedia.org/wiki/Judy_Cornwell,Sitcom comedians,1940,,4215,85.0,Female,"Hammersmith, London",51.494109,-0.2250607,10.67
Julia Davis,https://en.wikipedia.org/wiki/Julia_Davis,Sitcom comedians,1966,,14929,59.0,Female,August,37.979919,-121.2621572,8561.21
Julia Hills,https://en.wikipedia.org/wiki/Julia_Hills,Sitcom comedians,1957,,7072,68.0,Female,,,,
Julia Sawalha,https://en.wikipedia.org/wiki/Julia_Sawalha,Sitcom comedians,1968,,8715,57.0,Female,"Wandsworth, London, England",51.4570271,-0.1932607,10.22
Julian Barratt,https://en.wikipedia.org/wiki/Julian_Barratt,Stand-up comedians,1968,,35183,57.0,Male,Leeds,53.7974185,-1.5437941,276.55
Julian Clary,https://en.wikipedia.org/wiki/Julian_Clary,Stand-up comedians,1959,,21183,66.0,Male,Surbiton,51.3937557,-0.3033105,3.9
Julie Walters,https://en.wikipedia.org/wiki/Julie_Walters,Sitcom comedians,1950,,27050,75.0,Female,"Edgbaston, Birmingham",52.4709941,-1.9225861,159.81
Karl Howman,https://en.wikipedia.org/wiki/Karl_Howman,Sitcom comedians,1952,,3899,73.0,Male,"Woolwich, London, England",51.4919328,0.0703949,28.87
Katherine Bennett,https://en.wikipedia.org/wiki/Katherine_Bennett_(comedian),Stand-up comedians,1976,,1680,49.0,Female,"Hertfordshire, Theology, Open University",,,
Katherine Parkinson,https://en.wikipedia.org/wiki/Katherine_Parkinson,Sitcom comedians,1977,,14768,48.0,Female,"Hounslow, London, England, UK",51.4619551,-0.3623924,4.73
Kathy Burke,https://en.wikipedia.org/wiki/Kathy_Burke,Sitcom comedians,1964,,13259,61.0,Female,"Islington, London",51.5223058,-0.1073604,18.95
Katie Perry,https://en.wikipedia.org/wiki/Katie_Perry,Comedy panel game regulars,,,5141,,Female,"Katie Jane Perry   London, England",,,
Katy Brand,https://en.wikipedia.org/wiki/Katy_Brand,Sketch show/alternative comedians,1979,,7544,46.0,Female,"Katherine Frances Brand 
 Buckinghamshire, England",,,
Kenneth Williams,https://en.wikipedia.org/wiki/Kenneth_Williams,Comedy panel game regulars,,,30855,,Male,"Kenneth Charles WilliamsKing's Cross, London, England",,,
Kenway and Young,https://en.wikipedia.org/wiki/Kenway_and_Young,Variety and music hall comedians,,,3502,,Female,"Kenway and Young were a British comedy duo popular in the s and s.  They were a married couple, Helen Hemmings Young, who performed as Nan Kenway, and Douglas Joseph Young, who also wrote their scripts.",,,
Kerry Godliman,https://en.wikipedia.org/wiki/Kerry_Godliman,Stand-up comedians,1973,,5624,52.0,Female,"Perivale, London, England",51.5364952,-0.3225887,12.48
Kev Orkian,https://en.wikipedia.org/wiki/Kev_Orkian,Stand-up comedians,1974,,8980,51.0,Male,Edmonton,53.5462055,-113.491241,6817.1
Kevin Bridges,https://en.wikipedia.org/wiki/Kevin_Bridges,Stand-up comedians,1986,,10197,39.0,Male,"Clydebank, West Dunbartonshire",55.9026837,-4.4034151,566.26
Kevin Connelly,https://en.wikipedia.org/wiki/Kevin_Connelly,Impressionists,,,1581,,Male,"Middlesbrough, England",54.5760419,-1.2344047,355.94
Kevin Eldon,https://en.wikipedia.org/wiki/Kevin_Eldon,Sketch show/alternative comedians,1960,,14390,65.0,Male,"Kevin RobinsonChatham, Kent, England",,,
Kiell Smith-Bynoe,https://en.wikipedia.org/wiki/Kiell_Smith-Bynoe,Sitcom comedians,1989,,5539,36.0,Male,"London, England",51.5074456,-0.1277653,16.85
Kunal Nayyar,https://en.wikipedia.org/wiki/Kunal_Nayyar,Sitcom comedians,1981,,9212,44.0,Male,"London, England",51.5074456,-0.1277653,16.85
Laura Lexx,https://en.wikipedia.org/wiki/Laura_Lexx,Comedy panel game regulars,,,5291,,Female,"Taunton, Somerset, England",51.0147895,-3.1029086,198.96
Laura Solon,https://en.wikipedia.org/wiki/Laura_Solon,Sketch show/alternative comedians,1979,,6301,46.0,Female,Laura Madalene Solon,,,
Lauren Laverne,https://en.wikipedia.org/wiki/Lauren_Laverne,Comedy panel game regulars,,,16535,,Female,Sunderland,54.9058512,-1.3828727,393.78
Laurence Clark,https://en.wikipedia.org/wiki/Laurence_Clark_(comedian),Stand-up comedians,1974,,5335,51.0,Male,"Laurence Clark is a British stand-up comedian, writer, actor, presenter, and disability rights campaigner. Clark was born with cerebral palsy and uses his line of work to alter the general public's perceptions of disabled people.[1]",,,
Laurence Rickard,https://en.wikipedia.org/wiki/Laurence_Rickard,Sitcom comedians,1975,,3692,50.0,Male,"Laurence Rickard   Brighton, England",,,
Lee Evans,https://en.wikipedia.org/wiki/Lee_Evans_(comedian),Stand-up comedians,1964,,11112,61.0,Male,Bristol,51.4538022,-2.5972985,157.64
Lee Hurst,https://en.wikipedia.org/wiki/Lee_Hurst,Stand-up comedians,1962,,3934,63.0,Male,Tower Hamlets,51.1288633,1.2986686,118.35
Lee Mack,https://en.wikipedia.org/wiki/Lee_Mack,Stand-up comedians,1968,,18332,57.0,Male,"Southport, Lancashire",53.6248844,-2.9622333,303.04
Lee Peart,https://en.wikipedia.org/wiki/Lee_Peart,Stand-up comedians,1990,,3538,35.0,Male,"Lee Peart  is an English comedian, actor, and presenter.",,,
Lemn Sissay,https://en.wikipedia.org/wiki/Lemn_Sissay,Poets with a comedic bent,,,16782,,Male,"Higher End, Wigan, Lancashire",,,
Lenny Henry,https://en.wikipedia.org/wiki/Lenny_Henry,Sketch show/alternative comedians,1958,,37376,67.0,Male,"Dudley, Worcestershire",52.0200547,-1.7421782,117.92
Les Barker,https://en.wikipedia.org/wiki/Les_Barker,Musical comedians,1947,,7344,78.0,Male,"Manchester, England",53.4794892,-2.2451148,263.1
Les Dawson,https://en.wikipedia.org/wiki/Les_Dawson,Comedy panel game regulars,,,12005,,Male,"Leslie DawsonCollyhurst, Manchester, England",,,
Les Dennis,https://en.wikipedia.org/wiki/Les_Dennis,Stand-up comedians,1953,,23092,72.0,Male,Liverpool,53.4071991,-2.99168,285.38
Lesley Joseph,https://en.wikipedia.org/wiki/Lesley_Joseph,Sitcom comedians,1945,,12496,80.0,Female,"Finsbury Park, London",51.5648345,-0.1064144,22.06
Lewis Costello,https://en.wikipedia.org/wiki/Lewis_Costello,Stand-up comedians,1993,,2209,32.0,Male,"Blackburn, Lancashire",53.749326,-2.4840566,297.01
Linda Robson,https://en.wikipedia.org/wiki/Linda_Robson,Sitcom comedians,1958,,9794,67.0,Female,"Islington, North London",51.5426136,-0.1032677,20.55
Linda Smith,https://en.wikipedia.org/wiki/Linda_Smith_(comedian),Comedy panel game regulars,,,10145,,Female,"Linda Helen SmithErith, England",,,
Liza Tarbuck,https://en.wikipedia.org/wiki/Liza_Tarbuck,Sitcom comedians,1964,,8375,61.0,Female,"Liverpool, England",53.4071991,-2.99168,285.38
Lorna Watson,https://en.wikipedia.org/wiki/Lorna_Watson,Comedy double acts,,,1927,,Female,,,,
Lou Sanders,https://en.wikipedia.org/wiki/Lou_Sanders,Stand-up comedians,,,7435,,Female,"Barnstaple, Devon",51.0804057,-4.0600467,263.14
Lucy Davis,https://en.wikipedia.org/wiki/Lucy_Davis,Sitcom comedians,1973,,6435,52.0,Female,Birmingham,52.4796992,-1.9026911,159.58
Lucy Porter,https://en.wikipedia.org/wiki/Lucy_Porter,Stand-up comedians,1973,,8326,52.0,Female,"London, England",51.5074456,-0.1277653,16.85
Lucy Punch,https://en.wikipedia.org/wiki/Lucy_Punch,Sitcom comedians,1977,,7640,48.0,Female,Hammersmith,51.4920377,-0.2236401,10.58
Maisie Adam,https://en.wikipedia.org/wiki/Maisie_Adam,Stand-up comedians,,,12706,,Female,"Pannal, North Yorkshire",53.9585105,-1.532787,293.47
Marcus Brigstocke,https://en.wikipedia.org/wiki/Marcus_Brigstocke,Stand-up comedians,1973,,13361,52.0,Male,Guildford,51.2356068,-0.5732063,26.96
Mark Addy,https://en.wikipedia.org/wiki/Mark_Addy,Sitcom comedians,1964,,8999,61.0,Male,"York, England",53.9656579,-1.0743052,287.22
Mark Gatiss,https://en.wikipedia.org/wiki/Mark_Gatiss,Sketch show/alternative comedians,1966,,37264,59.0,Male,"Sedgefield, County Durham, England",54.6531916,-1.4496577,367.07
Mark Perry,https://en.wikipedia.org/wiki/Mark_Perry_(impressionist),Impressionists,,,1381,,Male,Phillip Perry,37.1627593,-83.1050845,6428.99
Mark Steel,https://en.wikipedia.org/wiki/Mark_Steel,Stand-up comedians,1960,,14915,65.0,Male,"Swanley, Kent, England",51.397509,0.1802263,35.67
Mark Thomas,https://en.wikipedia.org/wiki/Mark_Thomas,Satirists,1963,,23251,62.0,Male,"London, England",51.5074456,-0.1277653,16.85
Mark Watson,https://en.wikipedia.org/wiki/Mark_Watson,Stand-up comedians,1980,,13872,45.0,Male,Bristol,51.4538022,-2.5972985,157.64
Mark Williams,https://en.wikipedia.org/wiki/Mark_Williams_(actor),Sketch show/alternative comedians,1959,,4158,66.0,Male,"Bromsgrove, Worcestershire, England",52.3353816,-2.0597449,156.36
Martha Howe-Douglas,https://en.wikipedia.org/wiki/Martha_Howe-Douglas,Sitcom comedians,1980,,3865,45.0,Female,"Moseley, Birmingham, England",52.4473204,-1.8887846,156.32
Martin Clunes,https://en.wikipedia.org/wiki/Martin_Clunes,Sitcom comedians,1961,,18166,64.0,Male,"Wimbledon, London",51.4220721,-0.2052902,8.72
Martin Freeman,https://en.wikipedia.org/wiki/Martin_Freeman,Sketch show/alternative comedians,1971,,16937,54.0,Male,"Aldershot, Hampshire",51.2494169,-0.7630148,35.88
Mathew Baynton,https://en.wikipedia.org/wiki/Mathew_Baynton,Sitcom comedians,1980,,9891,45.0,Male,Southend-on-Sea,51.5388241,0.7128137,73.59
Matilda Ziegler,https://en.wikipedia.org/wiki/Matilda_Ziegler,Sitcom comedians,1964,,4718,61.0,Female,"Ashford, Kent, England",51.148555,0.8722566,89.35
Matt Berry,https://en.wikipedia.org/wiki/Matt_Berry,Sketch show/alternative comedians,1974,,27870,51.0,Male,"Bromham, Bedfordshire",,,
Matt Forde,https://en.wikipedia.org/wiki/Matt_Forde,Impressionists,1982,,4368,43.0,Male,"Nottingham, Nottinghamshire, England",52.9534193,-1.1496461,179.12
Matt King,https://en.wikipedia.org/wiki/Matt_King_(comedian),Sitcom comedians,1968,,4556,57.0,Male,"Watford, Hertfordshire",51.6553875,-0.3957425,26.09
Matt Lucas,https://en.wikipedia.org/wiki/Matt_Lucas,Sketch show/alternative comedians,,,21593,,Male,Paddington,51.5161629,-0.1744856,14.9
Matt Richardson,https://en.wikipedia.org/wiki/Matt_Richardson,Stand-up comedians,1991,,6462,34.0,Male,"Didcot, Oxfordshire",51.6063587,-1.245999,66.69
Matthew Cottle,https://en.wikipedia.org/wiki/Matthew_Cottle,Sitcom comedians,1967,,3556,58.0,,"Henley-on-Thames, Oxfordshire",51.5375786,-0.9050287,41.84
Matthew Floyd Jones,https://en.wikipedia.org/wiki/Matthew_Floyd_Jones,Comedy double acts,,,1611,,Male,"Kingston upon Thames, Greater London, England[1]",51.41967,-0.2930998,2.66
Matthew Holness,https://en.wikipedia.org/wiki/Matthew_Holness,Sketch show/alternative comedians,1975,,9629,50.0,Male,"Whitstable, Kent, England",51.3606286,1.0240626,94.55
Maureen Lipman,https://en.wikipedia.org/wiki/Maureen_Lipman,Sitcom comedians,1946,,26382,79.0,Female,"Hull, East Riding of Yorkshire",53.9112323,-0.5813105,277.25
Meera Syal,https://en.wikipedia.org/wiki/Meera_Syal,Sketch show/alternative comedians,1961,,17072,64.0,Female,"Feroza Syal   Wolverhampton, England",,,
Mel Giedroyc,https://en.wikipedia.org/wiki/Mel_Giedroyc,Comedy double acts,,,19078,,Female,"Epsom, Surrey",51.3326098,-0.2678212,11.11
Melanie Hudson,https://en.wikipedia.org/wiki/Melanie_Hudson,Comedy double acts,,,1229,,Female,,,,
"Michael ""Atters"" Attree",https://en.wikipedia.org/wiki/Michael_%22Atters%22_Attree,Satirists,1965,,4951,60.0,Male,Colchester Military Hospital,,,
Michael Barrymore,https://en.wikipedia.org/wiki/Michael_Barrymore,Variety and music hall comedians,1952,,29011,73.0,Male,Bermondsey,51.4970125,-0.063268,20.26
Michael Crawford,https://en.wikipedia.org/wiki/Michael_Crawford,Sitcom comedians,1942,,34850,83.0,Male,"Salisbury, Wiltshire",51.0690613,-1.7954134,109.65
Michael Dapaah,https://en.wikipedia.org/wiki/Michael_Dapaah,Blog and internet humourists,,,7430,,Male,"Croydon, London, England",51.5935772,-0.0831493,25.48
Michael Flanders,https://en.wikipedia.org/wiki/Michael_Flanders,Comedy double acts,,,20324,,Male,"Michael Henry FlandersLondon, England",,,
Michael McIntyre,https://en.wikipedia.org/wiki/Michael_McIntyre,Stand-up comedians,1976,,13031,49.0,Male,London,51.5074456,-0.1277653,16.85
Michael Palin,https://en.wikipedia.org/wiki/Michael_Palin,Sketch show/alternative comedians,1943,,47211,82.0,Male,Sheffield,53.3806626,-1.4702278,231.08
Michael Spicer,https://en.wikipedia.org/wiki/Michael_Spicer_(comedian),Satirists,,,3381,,Male,,,,
Michaela Coel,https://en.wikipedia.org/wiki/Michaela_Coel,Sitcom comedians,1987,,20776,38.0,Female,"Collinson   London, England",51.500153,-0.0971382,18.28
