Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Micky Flanagan,https://en.wikipedia.org/wiki/Micky_Flanagan,Stand-up comedians,1962,,8762,63.0,Male,"Whitechapel, London, England",51.5197615,-0.0600874,21.58
Mike Harding,https://en.wikipedia.org/wiki/Mike_Harding,Stand-up comedians,1944,,11728,81.0,Male,"Crumpsall, Manchester, England",53.5209118,-2.2416946,266.98
Mike Hayley,https://en.wikipedia.org/wiki/Mike_Hayley,Impressionists,,,1516,,Male,,,,
Mike Wozniak,https://en.wikipedia.org/wiki/Mike_Wozniak,Stand-up comedians,1979,,6288,46.0,Male,"Oxford, Oxfordshire, England",51.7520131,-1.2578499,73.88
Miles Jupp,https://en.wikipedia.org/wiki/Miles_Jupp,Comedy panel game regulars,,,11353,,Male,London,51.5074456,-0.1277653,16.85
Millicent Martin,https://en.wikipedia.org/wiki/Millicent_Martin,Sitcom comedians,1934,,7318,91.0,Female,"Romford, Essex",51.5842589,0.1597006,38.41
Milton Jones,https://en.wikipedia.org/wiki/Milton_Jones,Stand-up comedians,1964,,5640,61.0,Male,"Kew, London",51.4781975,-0.2968861,6.43
Miranda Hart,https://en.wikipedia.org/wiki/Miranda_Hart,Stand-up comedians,1972,,24678,53.0,Female,"Torquay, Devon",50.4652392,-3.5211361,248.3
Mitch Benn,https://en.wikipedia.org/wiki/Mitch_Benn,Musical comedians,1970,,14510,55.0,Male,"Liverpool, England",53.4071991,-2.99168,285.38
Mo Gilligan,https://en.wikipedia.org/wiki/Mo_Gilligan,Stand-up comedians,1988,,6326,37.0,Male,"Lambeth, London, England",51.4955481,-0.1200826,16.64
Monty Python,https://en.wikipedia.org/wiki/Monty_Python,Film,,,125125,,,,,,
Morgana Robinson,https://en.wikipedia.org/wiki/Morgana_Robinson,Impressionists,1982,,6544,43.0,Female,"Shepparton, Victoria, Australia",-36.3831633,145.3988874,16838.03
Morwenna Banks,https://en.wikipedia.org/wiki/Morwenna_Banks,Sitcom comedians,1961,,9011,64.0,Female,Redruth,50.233989,-5.2276468,369.47
Munya Chawawa,https://en.wikipedia.org/wiki/Munya_Chawawa,Satirists,1992,,5111,33.0,Male,Derby,52.9142235,-1.4719885,183.24
Murray and Mooney,https://en.wikipedia.org/wiki/Murray_and_Mooney,Variety and music hall comedians,,,2394,,,Harry Murray,36.613523,-88.3214124,6807.1
Nat Mills and Bobbie,https://en.wikipedia.org/wiki/Nat_Mills_and_Bobbie,Variety and music hall comedians,,,3225,,Male,"Stepney, Edinburgh",,,
Natalie Casey,https://en.wikipedia.org/wiki/Natalie_Casey,Sitcom comedians,1980,,4004,45.0,Female,"Rawtenstall, Lancashire, England",53.7012824,-2.2862723,285.95
Natalie Haynes,https://en.wikipedia.org/wiki/Natalie_Haynes,Stand-up comedians,1974,,10726,51.0,Female,"Birmingham, England",52.4796992,-1.9026911,159.58
Neil Morrissey,https://en.wikipedia.org/wiki/Neil_Morrissey,Sitcom comedians,1962,,16033,63.0,Male,"Stafford, Staffordshire",52.8063157,-2.1163818,196.48
Nichola McAuliffe,https://en.wikipedia.org/wiki/Nichola_McAuliffe,Sitcom comedians,1955,,5990,70.0,Female,"Nichola Teresa Mary McAuliffe   Dulwich, London, England",,,
Nicholas Lyndhurst,https://en.wikipedia.org/wiki/Nicholas_Lyndhurst,Sitcom comedians,1961,,12533,64.0,Male,"Emsworth, Hampshire, England",50.8473211,-0.9371343,76.97
