Name,Probability
Brian Deane,0.0008167563617663489
Lee Dixon,0.0008167563617663489
Nigel Winterburn,0.0008167563617663489
John Barnes,0.0008167563617663489
Martin Keown,0.0008167563617663489
David Seaman,0.0008167563617663489
Alex Brown,0.0007940686850506172
Djed Spence,0.0007940686850506172
Abbey Jones,0.0007940686850506172
George Smith,0.0007940686850506172
Jack Powell,0.0007940686850506172
Jamie Smith,0.0007940686850506172
Ben Billingham,0.0007940686850506172
Christopher Mason,0.0007940686850506172
Martin Peters,0.0007940686850506172
George Burton,0.0007940686850506172
Ali Johnson,0.0007940686850506172
Jack Smith,0.0007940686850506172
Jack Smith,0.0007940686850506172
Richard Greaves,0.0007940686850506172
Tony Witter,0.0007940686850506172
George West,0.0007940686850506172
Rhys King,0.0007940686850506172
Amy Martin,0.0007940686850506172
Ben Johnson,0.0007940686850506172
James Sharp,0.0007940686850506172
Kevin Hunt,0.0007940686850506172
Richard Smith,0.0007940686850506172
Cory Harvey,0.0007940686850506172
Conor Roberts,0.0007940686850506172
Matty Walters,0.0007940686850506172
Jordan Smith,0.0007940686850506172
Brendan Brown,0.0007940686850506172
Ian Richardson,0.0007940686850506172
Charley Robertson,0.0007940686850506172
Richard Davies,0.0007940686850506172
Chris Rowney,0.0007940686850506172
Jack Atkinson,0.0007940686850506172
Cameron Allen,0.0007940686850506172
Justin Fashanu,0.0007940686850506172
Steve Foster,0.0007940686850506172
Danny Wallace,0.0007940686850506172
Lewis Cook,0.0007940686850506172
Hannah Hampton,0.0007912327254611508
Darnell Johnson,0.0007912327254611508
Jess Carter,0.0007912327254611508
Timmy Abraham,0.0007912327254611508
Adam Brown,0.0007600371699770193
Michael Owen,0.0007600371699770193
Michael Brown,0.0007600371699770193
Jonathan Smith,0.0007600371699770193
Phil Neville,0.0007600371699770193
Gavin Johnson,0.0007600371699770193
Gary Brown,0.0007600371699770193
Dean Oliver,0.0007600371699770193
Sam Williamson,0.0007600371699770193
Anthony Peacock,0.0007600371699770193
Adam Baker,0.0007600371699770193
Terry Smith,0.0007600371699770193
Gary Neville,0.0007600371699770193
Nicky Butt,0.0007600371699770193
Clive Wilson,0.0007600371699770193
David Platt,0.0007600371699770193
Michael Thomas,0.0007600371699770193
Chris Rowney,0.0007600371699770193
Jamie Forrester,0.0007600371699770193
Paul Scholes,0.0007600371699770193
Ben Roberts,0.0007600371699770193
James Beattie,0.0007600371699770193
Terry Fenwick,0.0007600371699770193
Robbie Fowler,0.0007600371699770193
Alan Wright,0.0007600371699770193
Gary Mabbutt,0.0007600371699770193
Ben Watson,0.0007600371699770193
Matt Richards,0.0007600371699770193
Ben George,0.0007600371699770193
Terry Cooke,0.0007600371699770193
Ben Wilkinson,0.0007600371699770193
Chris Wood,0.0007600371699770193
George Webb,0.0007600371699770193
Jake Simpson,0.0007600371699770193
Mark Bright,0.0007600371699770193
Paul Stewart,0.0007600371699770193
Greg Mills,0.0007600371699770193
Charlie Stimson,0.0007600371699770193
Andrew Smith,0.0007600371699770193
Steve Stone,0.0007600371699770193
Phil Jevons,0.0007600371699770193
Joe Brown,0.0007600371699770193
Adam Smith,0.0007600371699770193
Lee Hendrie,0.0007600371699770193
Jamie Carragher,0.0007600371699770193
Jake Livermore,0.0007373494932612874
Jonjo Shelvey,0.0007373494932612874
Carl Jenkinson,0.0007373494932612874
Rob Hunt,0.0007089898973666225
Harry Winks,0.0007089898973666225
Lewis Page,0.0007089898973666225
Steve Howey,0.0007033179781876894
Richard Walker,0.0007033179781876894
Darius Vassell,0.0007033179781876894
Steve McManaman,0.0007033179781876894
Owen Hargreaves,0.0007033179781876894
Dean Sturridge,0.0007033179781876894
Gavin McCann,0.0007033179781876894
Trevor Morley,0.0007033179781876894
Danny Thomas,0.0007033179781876894
Tommy Johnson,0.0007033179781876894
Alan Smith,0.0007033179781876894
Alan Thompson,0.0007033179781876894
Jason Wilcox,0.0007033179781876894
Phil Barnes,0.0007033179781876894
Michael Gray,0.0007033179781876894
Michael Ball,0.0007033179781876894
Andy Campbell,0.0007033179781876894
Lee Johnson,0.0007033179781876894
Alan Shearer,0.0007033179781876894
Gary Mills,0.0007033179781876894
Greg Young,0.0007033179781876894
